City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sawākin,19.11,37.33,92.59,47,0,2.59,SD,1597700835
1,Saint George,37.1,-113.58,111.0,6,1,3.36,US,1597700803
2,Lebu,-37.62,-73.65,49.64,80,46,6.4,CL,1597700835
3,Khatanga,71.97,102.5,58.89,88,100,6.71,RU,1597700835
4,Port Alfred,-33.59,26.89,54.86,71,61,30.0,ZA,1597700836
5,Bluff,-46.6,168.33,35.01,97,99,4.0,NZ,1597700836
6,Antsohihy,-14.88,47.99,66.42,66,0,7.54,MG,1597700836
7,Kaitangata,-46.28,169.85,42.01,83,95,1.01,NZ,1597700836
8,Vila Velha,-20.33,-40.29,77.0,78,75,13.87,BR,1597700800
9,Mataura,-46.19,168.86,35.01,97,98,4.0,NZ,1597700836
10,Avarua,-21.21,-159.78,73.4,64,8,9.17,CK,1597700837
11,Wau,7.7,28.0,73.17,82,100,2.57,SS,1597700837
12,Ngaoundéré,7.32,13.58,64.54,96,100,0.63,CM,1597700837
13,Esperance,-33.87,121.9,48.2,81,75,28.86,AU,1597700837
14,Busselton,-33.65,115.33,51.01,79,96,13.96,AU,1597700680
15,Port Hardy,50.7,-127.42,73.4,64,75,11.41,CA,1597700838
16,Te Anau,-45.42,167.72,39.34,74,99,1.1,NZ,1597700838
17,Chui,-33.7,-53.46,47.84,80,0,6.13,UY,1597700838
18,Tefé,-3.35,-64.71,86.0,66,20,4.7,BR,1597700838
19,Punta Arenas,-53.15,-70.92,37.4,74,75,19.46,CL,1597700824
20,Rikitea,-23.12,-134.97,71.49,76,23,9.15,PF,1597700575
21,Tuktoyaktuk,69.45,-133.04,50.0,81,90,3.36,CA,1597700838
22,Lukulu,-14.37,23.24,63.41,27,0,3.78,ZM,1597700839
23,East London,-33.02,27.91,59.67,49,69,26.31,ZA,1597700839
24,Hasaki,35.73,140.83,81.0,94,75,8.05,JP,1597700839
25,Hermanus,-34.42,19.23,46.0,76,93,1.99,ZA,1597700839
26,Kapaa,22.08,-159.32,84.2,62,20,14.99,US,1597700840
27,Jamestown,42.1,-79.24,73.0,64,90,9.17,US,1597700794
28,Paphos,34.77,32.42,71.6,60,0,8.05,CY,1597700560
29,Fortuna,40.6,-124.16,71.01,73,100,1.99,US,1597700840
30,Challapata,-18.9,-66.77,50.5,39,32,25.23,BO,1597700840
31,Murgab,37.5,61.97,75.2,33,75,6.93,TM,1597700840
32,Yellowknife,62.46,-114.35,66.2,52,40,4.7,CA,1597700841
33,Faanui,-16.48,-151.75,78.26,72,18,11.5,PF,1597700841
34,San Quintín,30.48,-115.95,77.92,65,49,7.4,MX,1597700841
35,Bredasdorp,-34.53,20.04,46.4,70,52,11.41,ZA,1597700841
36,Marzuq,14.4,46.47,86.65,34,99,0.65,YE,1597700841
37,Ushuaia,-54.8,-68.3,33.8,86,75,11.41,AR,1597700841
38,Saskylakh,71.92,114.08,52.2,87,94,10.76,RU,1597700842
39,Cape Town,-33.93,18.42,50.0,70,20,10.29,ZA,1597700593
40,Nemuro,43.32,145.57,60.4,94,69,9.57,JP,1597700729
41,Albany,42.6,-73.97,73.99,67,3,5.61,US,1597700842
42,Salalah,17.02,54.09,77.0,100,90,3.36,OM,1597700842
43,Cabo San Lucas,22.89,-109.91,91.4,58,5,18.34,MX,1597700634
44,Charlottetown,46.24,-63.13,70.0,52,20,10.29,CA,1597700656
45,Ponta Delgada,37.73,-25.67,73.4,94,40,19.46,PT,1597700843
46,Constitución,-35.33,-72.42,51.04,75,0,13.51,CL,1597700843
47,Hithadhoo,-0.6,73.08,83.66,73,42,6.46,MV,1597700843
48,Iralaya,15.0,-83.23,84.43,71,90,7.56,HN,1597700843
49,Hamilton,39.18,-84.53,86.0,42,40,9.17,US,1597700676
50,Brae,60.4,-1.35,57.2,93,74,11.41,GB,1597700843
51,Makkah al Mukarramah,21.43,39.83,93.61,23,15,5.73,SA,1597700778
52,Naze,28.37,129.48,78.8,94,0,3.36,JP,1597700844
53,Ostrovnoy,68.05,39.51,42.1,86,95,13.06,RU,1597700844
54,Havre-St-Pierre,50.23,-63.6,69.8,73,1,8.05,CA,1597700844
55,Portland,45.52,-122.68,93.0,48,0,3.74,US,1597700840
56,Vangaindrano,-23.35,47.6,66.61,92,31,4.54,MG,1597700844
57,Ouadda,8.08,22.4,68.92,95,93,0.6,CF,1597700845
58,Vitry-le-François,48.73,4.58,66.2,72,70,2.24,FR,1597700581
59,Bojonegoro,-7.15,111.88,74.14,79,1,3.31,ID,1597700845
60,Touros,-5.2,-35.46,77.0,78,20,9.17,BR,1597700845
